joke_id,joke,cleanedText1,cleanedText2,cleanedText3,pos_tags,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRT,PRON,VERB,PUNC,OTHERS
18,"|  

  
A dog walks into Western Union and asks the clerk to send a telegram. He fills
out a form on which he writes down the telegram he wishes to send: ""Bow wow
wow, Bow wow wow.""

The clerk says, ""You can add another 'Bow wow' for the same price.""

The dog responded, ""Now wouldn't that sound a little silly?""  
  
---|---

",a dog walks into western union and asks the clerk to send a telegram he fills out a form on which he writes down the telegram he wishes to send bow wow wow bow wow wow the clerk says you can add another bow wow for the same price the dog responded now wouldn t that sound a little silly,dog walks western union asks clerk send telegram fills form writes telegram wishes send bow wow wow bow wow wow clerk says add another bow wow price dog responded wouldn sound little silly,dog walk western union asks clerk send telegram fill form writes telegram wish send bow wow wow bow wow wow clerk say add another bow wow price dog responded wouldn sound little silly,"[('dog', 'NOUN'), ('walks', 'NOUN'), ('western', 'ADJ'), ('union', 'NOUN'), ('asks', 'VERB'), ('clerk', 'ADJ'), ('send', 'NOUN'), ('telegram', 'NOUN'), ('fills', 'NOUN'), ('form', 'VERB'), ('writes', 'VERB'), ('telegram', 'ADJ'), ('wishes', 'NOUN'), ('send', 'VERB'), ('bow', 'ADJ'), ('wow', 'NOUN'), ('wow', 'NOUN'), ('bow', 'NOUN'), ('wow', 'NOUN'), ('wow', 'NOUN'), ('clerk', 'NOUN'), ('says', 'VERB'), ('add', 'VERB'), ('another', 'DET'), ('bow', 'NOUN'), ('wow', 'NOUN'), ('price', 'NOUN'), ('dog', 'NOUN'), ('responded', 'VERB'), ('wouldn', 'ADJ'), ('sound', 'ADJ'), ('little', 'ADJ'), ('silly', 'ADV')]","['western', 'clerk', 'telegram', 'bow', 'wouldn', 'sound', 'little']",[],['silly'],[],['another'],"['dog', 'walks', 'union', 'send', 'telegram', 'fills', 'wishes', 'wow', 'wow', 'bow', 'wow', 'wow', 'clerk', 'bow', 'wow', 'price', 'dog']",[],[],[],"['asks', 'form', 'writes', 'send', 'says', 'add', 'responded']",[],[]
19,"|  

  
Q: If a person who speaks three languages is called ""tri-lingual,"" and a
person who speaks two languages is called ""bi-lingual,"" what do call a person
who only speaks one language?

A: American!  
---|---

",q if a person who speaks three languages is called tri lingual and a person who speaks two languages is called bi lingual what do call a person who only speaks one language a american,q person speaks three languages called tri lingual person speaks two languages called bi lingual call person speaks one language american,q person speaks three language called tri lingual person speaks two language called bi lingual call person speaks one language american,"[('q', 'NOUN'), ('person', 'NOUN'), ('speaks', 'NOUN'), ('three', 'NUM'), ('languages', 'NOUN'), ('called', 'VERB'), ('tri', 'ADV'), ('lingual', 'ADJ'), ('person', 'NOUN'), ('speaks', 'NOUN'), ('two', 'NUM'), ('languages', 'NOUN'), ('called', 'VERB'), ('bi', 'ADV'), ('lingual', 'ADJ'), ('call', 'NOUN'), ('person', 'NOUN'), ('speaks', 'VERB'), ('one', 'NUM'), ('language', 'NOUN'), ('american', 'ADJ')]","['lingual', 'lingual', 'american']",[],"['tri', 'bi']",[],[],"['q', 'person', 'speaks', 'languages', 'person', 'speaks', 'languages', 'call', 'person', 'language']","['three', 'two', 'one']",[],[],"['called', 'called', 'speaks']",[],[]
2,"|  

  
This couple had an excellent relationship going until one day he came home
from work to find his girlfriend packing. He asked her why she was leaving him
and she told him that she had heard awful things about him.

""What could they possibly have said to make you move out?""

""They told me that you were a pedophile.""

He replied, ""That's an awfully big word for a ten year old.""  
---|---

",this couple had an excellent relationship going until one day he came home from work to find his girlfriend packing he asked her why she was leaving him and she told him that she had heard awful things about him what could they possibly have said to make you move out they told me that you were a pedophile he replied that s an awfully big word for a ten year old,couple excellent relationship going one day came home work find girlfriend packing asked leaving told heard awful things could possibly said make move told pedophile replied awfully big word ten year old,couple excellent relationship going one day came home work find girlfriend packing asked leaving told heard awful thing could possibly said make move told pedophile replied awfully big word ten year old,"[('couple', 'ADJ'), ('excellent', 'NOUN'), ('relationship', 'NOUN'), ('going', 'VERB'), ('one', 'NUM'), ('day', 'NOUN'), ('came', 'VERB'), ('home', 'NOUN'), ('work', 'NOUN'), ('find', 'VERB'), ('girlfriend', 'ADJ'), ('packing', 'NOUN'), ('asked', 'VERB'), ('leaving', 'VERB'), ('told', 'ADV'), ('heard', 'VERB'), ('awful', 'ADJ'), ('things', 'NOUN'), ('could', 'VERB'), ('possibly', 'ADV'), ('said', 'VERB'), ('make', 'NOUN'), ('move', 'NOUN'), ('told', 'VERB'), ('pedophile', 'NOUN'), ('replied', 'VERB'), ('awfully', 'ADV'), ('big', 'ADJ'), ('word', 'NOUN'), ('ten', 'NUM'), ('year', 'NOUN'), ('old', 'ADJ')]","['couple', 'girlfriend', 'awful', 'big', 'old']",[],"['told', 'possibly', 'awfully']",[],[],"['excellent', 'relationship', 'day', 'home', 'work', 'packing', 'things', 'make', 'move', 'pedophile', 'word', 'year']","['one', 'ten']",[],[],"['going', 'came', 'find', 'asked', 'leaving', 'heard', 'could', 'said', 'told', 'replied']",[],[]
20,"|  

  
What's the difference between a MacIntosh and an Etch-A-Sketch?

You don't have to shake the Mac to clear the screen.  
---|---

",what s the difference between a macintosh and an etch a sketch you don t have to shake the mac to clear the screen,difference macintosh etch sketch shake mac clear screen,difference macintosh etch sketch shake mac clear screen,"[('difference', 'NOUN'), ('macintosh', 'NOUN'), ('etch', 'VERB'), ('sketch', 'NOUN'), ('shake', 'NOUN'), ('mac', 'NOUN'), ('clear', 'ADJ'), ('screen', 'NOUN')]",['clear'],[],[],[],[],"['difference', 'macintosh', 'sketch', 'shake', 'mac', 'screen']",[],[],[],['etch'],[],[]
21,"|  

_

_

  

  
What's the difference between a used tire and 365 used condoms?

One's a Goodyear, the other's a great year.  
  
---|---

",_ _ what s the difference between a used tire and 365 used condoms one s a goodyear the other s a great year,_ _ difference used tire 365 used condoms one goodyear great year,_ _ difference used tire 365 used condom one goodyear great year,"[('_', 'ADJ'), ('_', 'NOUN'), ('difference', 'NOUN'), ('used', 'VERB'), ('tire', 'NOUN'), ('365', 'NUM'), ('used', 'VERB'), ('condoms', 'NOUN'), ('one', 'NUM'), ('goodyear', 'NOUN'), ('great', 'ADJ'), ('year', 'NOUN')]","['_', 'great']",[],[],[],[],"['_', 'difference', 'tire', 'condoms', 'goodyear', 'year']","['365', 'one']",[],[],"['used', 'used']",[],[]
22,"|  

  
A duck walks into a pharmacy and asks for a condom. The pharmacist says ""Would
you like me to stick that on your bill?"" The duck says:

""What kind of duck do you think I am!""  
  
---|---

",a duck walks into a pharmacy and asks for a condom the pharmacist says would you like me to stick that on your bill the duck says what kind of duck do you think i am,duck walks pharmacy asks condom pharmacist says would like stick bill duck says kind duck think,duck walk pharmacy asks condom pharmacist say would like stick bill duck say kind duck think,"[('duck', 'NOUN'), ('walks', 'NOUN'), ('pharmacy', 'NOUN'), ('asks', 'VERB'), ('condom', 'ADJ'), ('pharmacist', 'NOUN'), ('says', 'VERB'), ('would', 'VERB'), ('like', 'VERB'), ('stick', 'ADJ'), ('bill', 'NOUN'), ('duck', 'NOUN'), ('says', 'VERB'), ('kind', 'NOUN'), ('duck', 'NOUN'), ('think', 'VERB')]","['condom', 'stick']",[],[],[],[],"['duck', 'walks', 'pharmacy', 'pharmacist', 'bill', 'duck', 'kind', 'duck']",[],[],[],"['asks', 'says', 'would', 'like', 'says', 'think']",[],[]
23,"|  

  
Q: What is the Australian word for a boomerang that won't come back?

A: A stick  
  
---|---

",q what is the australian word for a boomerang that won t come back a a stick,q australian word boomerang won come back stick,q australian word boomerang won come back stick,"[('q', 'NOUN'), ('australian', 'ADJ'), ('word', 'NOUN'), ('boomerang', 'NOUN'), ('won', 'VERB'), ('come', 'VERB'), ('back', 'PRT'), ('stick', 'NOUN')]",['australian'],[],[],[],[],"['q', 'word', 'boomerang', 'stick']",[],['back'],[],"['won', 'come']",[],[]
24,"|  

  
What do you get when you run over a parakeet with a lawnmower?

Shredded tweet.  
  
---|---

",what do you get when you run over a parakeet with a lawnmower shredded tweet,get run parakeet lawnmower shredded tweet,get run parakeet lawnmower shredded tweet,"[('get', 'VERB'), ('run', 'VERB'), ('parakeet', 'ADV'), ('lawnmower', 'ADV'), ('shredded', 'ADJ'), ('tweet', 'NOUN')]",['shredded'],[],"['parakeet', 'lawnmower']",[],[],['tweet'],[],[],[],"['get', 'run']",[],[]
25,"  
|

  
Two kindergarten girls were talking outside: one said, ""You won't believe what
I saw on the patio yesterday--a condom!""

The second girl asked, ""What's a patio?""  
---|---

",two kindergarten girls were talking outside one said you won t believe what i saw on the patio yesterday a condom the second girl asked what s a patio,two kindergarten girls talking outside one said won believe saw patio yesterday condom second girl asked patio,two kindergarten girl talking outside one said won believe saw patio yesterday condom second girl asked patio,"[('two', 'NUM'), ('kindergarten', 'ADJ'), ('girls', 'NOUN'), ('talking', 'VERB'), ('outside', 'ADP'), ('one', 'NUM'), ('said', 'VERB'), ('won', 'NOUN'), ('believe', 'VERB'), ('saw', 'NOUN'), ('patio', 'NOUN'), ('yesterday', 'NOUN'), ('condom', 'VERB'), ('second', 'ADJ'), ('girl', 'NOUN'), ('asked', 'VERB'), ('patio', 'NOUN')]","['kindergarten', 'second']",['outside'],[],[],[],"['girls', 'won', 'saw', 'patio', 'yesterday', 'girl', 'patio']","['two', 'one']",[],[],"['talking', 'said', 'believe', 'condom', 'asked']",[],[]
26,"|  

  
A guy walks into a bar and sits down next to an extremely gorgeous woman. The
first thing he notices about her though, are her pants. They were skin-tight,
high-waisted and had no obvious mechanism (zipper, buttons or velcro) for
opening them.  
  
After several minutes of puzzling over how she got the pants up over her hips,
he finally worked up the nerve to ask her. ""Excuse me miss, but how do you get
into your pants?""  
  
""Well,"" she replied, ""you can start by buying me a drink.""

  
  
---|---

",a guy walks into a bar and sits down next to an extremely gorgeous woman the first thing he notices about her though are her pants they were skin tight high waisted and had no obvious mechanism zipper buttons or velcro for opening them after several minutes of puzzling over how she got the pants up over her hips he finally worked up the nerve to ask her excuse me miss but how do you get into your pants well she replied you can start by buying me a drink,guy walks bar sits next extremely gorgeous woman first thing notices though pants skin tight high waisted obvious mechanism zipper buttons velcro opening several minutes puzzling got pants hips finally worked nerve ask excuse miss get pants well replied start buying drink,guy walk bar sits next extremely gorgeous woman first thing notice though pant skin tight high waisted obvious mechanism zipper button velcro opening several minute puzzling got pant hip finally worked nerve ask excuse miss get pant well replied start buying drink,"[('guy', 'NOUN'), ('walks', 'NOUN'), ('bar', 'VERB'), ('sits', 'NOUN'), ('next', 'ADP'), ('extremely', 'ADV'), ('gorgeous', 'ADJ'), ('woman', 'NOUN'), ('first', 'ADJ'), ('thing', 'NOUN'), ('notices', 'NOUN'), ('though', 'ADP'), ('pants', 'NOUN'), ('skin', 'ADJ'), ('tight', 'ADJ'), ('high', 'NOUN'), ('waisted', 'VERB'), ('obvious', 'ADJ'), ('mechanism', 'NOUN'), ('zipper', 'NOUN'), ('buttons', 'NOUN'), ('velcro', 'VERB'), ('opening', 'VERB'), ('several', 'ADJ'), ('minutes', 'NOUN'), ('puzzling', 'VERB'), ('got', 'VERB'), ('pants', 'NOUN'), ('hips', 'NOUN'), ('finally', 'ADV'), ('worked', 'VERB'), ('nerve', 'ADJ'), ('ask', 'NOUN'), ('excuse', 'NOUN'), ('miss', 'NOUN'), ('get', 'NOUN'), ('pants', 'NOUN'), ('well', 'ADV'), ('replied', 'VERB'), ('start', 'ADJ'), ('buying', 'NOUN'), ('drink', 'NOUN')]","['gorgeous', 'first', 'skin', 'tight', 'obvious', 'several', 'nerve', 'start']","['next', 'though']","['extremely', 'finally', 'well']",[],[],"['guy', 'walks', 'sits', 'woman', 'thing', 'notices', 'pants', 'high', 'mechanism', 'zipper', 'buttons', 'minutes', 'pants', 'hips', 'ask', 'excuse', 'miss', 'get', 'pants', 'buying', 'drink']",[],[],[],"['bar', 'waisted', 'velcro', 'opening', 'puzzling', 'got', 'worked', 'replied']",[],[]
27,"|  

  
Clinton returns from a vacation in Arkansas and walks down the steps of Air
Force One with two pigs under his arms. At the bottom of the steps, he says to
the honor guardsman, ""These are genuine Arkansas Razor-Back Hogs. I got this
one for Chelsea and this one for Hillary.""

The guardsman replies, ""Nice trade, Sir.""  
---|---

",clinton returns from a vacation in arkansas and walks down the steps of air force one with two pigs under his arms at the bottom of the steps he says to the honor guardsman these are genuine arkansas razor back hogs i got this one for chelsea and this one for hillary the guardsman replies nice trade sir,clinton returns vacation arkansas walks steps air force one two pigs arms bottom steps says honor guardsman genuine arkansas razor back hogs got one chelsea one hillary guardsman replies nice trade sir,clinton return vacation arkansas walk step air force one two pig arm bottom step say honor guardsman genuine arkansas razor back hog got one chelsea one hillary guardsman reply nice trade sir,"[('clinton', 'NOUN'), ('returns', 'NOUN'), ('vacation', 'NOUN'), ('arkansas', 'ADP'), ('walks', 'NOUN'), ('steps', 'NOUN'), ('air', 'ADV'), ('force', 'VERB'), ('one', 'NUM'), ('two', 'NUM'), ('pigs', 'NOUN'), ('arms', 'NOUN'), ('bottom', 'VERB'), ('steps', 'NOUN'), ('says', 'VERB'), ('honor', 'ADJ'), ('guardsman', 'NOUN'), ('genuine', 'ADJ'), ('arkansas', 'NOUN'), ('razor', 'NOUN'), ('back', 'ADV'), ('hogs', 'NOUN'), ('got', 'VERB'), ('one', 'NUM'), ('chelsea', 'NOUN'), ('one', 'NUM'), ('hillary', 'ADJ'), ('guardsman', 'NOUN'), ('replies', 'NOUN'), ('nice', 'ADJ'), ('trade', 'NOUN'), ('sir', 'NOUN')]","['honor', 'genuine', 'hillary', 'nice']",['arkansas'],"['air', 'back']",[],[],"['clinton', 'returns', 'vacation', 'walks', 'steps', 'pigs', 'arms', 'steps', 'guardsman', 'arkansas', 'razor', 'hogs', 'chelsea', 'guardsman', 'replies', 'trade', 'sir']","['one', 'two', 'one', 'one']",[],[],"['force', 'bottom', 'says', 'got']",[],[]
28,"|  

  
A mechanical, electrical and a software engineer from Microsoft were driving
through the desert when the car broke down. The mechanical engineer said ""It
seems to be a problem with the fuel injection system, why don't we pop the
hood and I'll take a look at it."" To which the electrical engineer replied,
""No I think it's just a loose ground wire, I'll get out and take a look.""
Then, the Microsoft engineer jumps in. ""No, no, no. If we just close up all
the windows, get out, wait a few minutes, get back in, and then reopen the
windows everything will work fine.""  
  
---|---

",a mechanical electrical and a software engineer from microsoft were driving through the desert when the car broke down the mechanical engineer said it seems to be a problem with the fuel injection system why don t we pop the hood and i ll take a look at it to which the electrical engineer replied no i think it s just a loose ground wire i ll get out and take a look then the microsoft engineer jumps in no no no if we just close up all the windows get out wait a few minutes get back in and then reopen the windows everything will work fine,mechanical electrical software engineer microsoft driving desert car broke mechanical engineer said seems problem fuel injection system pop hood ll take look electrical engineer replied think loose ground wire ll get take look microsoft engineer jumps close windows get wait minutes get back reopen windows everything work fine,mechanical electrical software engineer microsoft driving desert car broke mechanical engineer said seems problem fuel injection system pop hood ll take look electrical engineer replied think loose ground wire ll get take look microsoft engineer jump close window get wait minute get back reopen window everything work fine,"[('mechanical', 'ADJ'), ('electrical', 'ADJ'), ('software', 'NOUN'), ('engineer', 'NOUN'), ('microsoft', 'VERB'), ('driving', 'VERB'), ('desert', 'NOUN'), ('car', 'NOUN'), ('broke', 'VERB'), ('mechanical', 'ADJ'), ('engineer', 'NOUN'), ('said', 'VERB'), ('seems', 'VERB'), ('problem', 'NOUN'), ('fuel', 'NOUN'), ('injection', 'NOUN'), ('system', 'NOUN'), ('pop', 'VERB'), ('hood', 'NOUN'), ('ll', 'NOUN'), ('take', 'VERB'), ('look', 'VERB'), ('electrical', 'ADJ'), ('engineer', 'NOUN'), ('replied', 'VERB'), ('think', 'VERB'), ('loose', 'ADJ'), ('ground', 'NOUN'), ('wire', 'NOUN'), ('ll', 'NOUN'), ('get', 'VERB'), ('take', 'VERB'), ('look', 'NOUN'), ('microsoft', 'ADJ'), ('engineer', 'NOUN'), ('jumps', 'NOUN'), ('close', 'ADV'), ('windows', 'NOUN'), ('get', 'VERB'), ('wait', 'ADJ'), ('minutes', 'NOUN'), ('get', 'VERB'), ('back', 'ADV'), ('reopen', 'ADJ'), ('windows', 'NOUN'), ('everything', 'NOUN'), ('work', 'NOUN'), ('fine', 'NOUN')]","['mechanical', 'electrical', 'mechanical', 'electrical', 'loose', 'microsoft', 'wait', 'reopen']",[],"['close', 'back']",[],[],"['software', 'engineer', 'desert', 'car', 'engineer', 'problem', 'fuel', 'injection', 'system', 'hood', 'll', 'engineer', 'ground', 'wire', 'll', 'look', 'engineer', 'jumps', 'windows', 'minutes', 'windows', 'everything', 'work', 'fine']",[],[],[],"['microsoft', 'driving', 'broke', 'said', 'seems', 'pop', 'take', 'look', 'replied', 'think', 'get', 'take', 'get', 'get']",[],[]
